Id;Latitude;Longitude;Type
0;50.7899809527745;3.12225345316462;DEFAULT
1;50.7963232753564;3.16636643741531;DEFAULT
2;50.8093352149561;3.22057504884169;DEFAULT
3;50.8348744279199;3.26961688857382;DEFAULT
4;50.8477235909587;3.29223788065011;DEFAULT
5;50.8554934138347;3.30625458602541;DEFAULT
6;50.8946915687627;3.34747015284573;DEFAULT
7;50.9027799101311;3.38676392634623;DEFAULT
8;50.9111248471186;3.40849783809981;DEFAULT
9;50.9146430944251;3.41659362513238;DEFAULT
10;50.9218516802652;3.43006207117282;DEFAULT
11;50.979822861184;3.51196525804081;DEFAULT
12;50.9915390081456;3.56766324715012;DEFAULT
13;51.0253621585348;3.64494936608439;DEFAULT
14;51.0362651281653;3.68316026886736;DEFAULT
15;51.0368501961403;3.68426694111752;DEFAULT
16;51.0468979934548;3.7207539290163;DEFAULT
17;51.0490896626105;3.72001143812341;DEFAULT
18;51.0579681444799;3.73180149956617;DEFAULT
19;51.0558498682421;3.73385164165062;DEFAULT
20;51.016466479499;3.54696700631833;DEFAULT
21;51.0949445205298;3.56422407267501;DEFAULT
22;51.0960202779277;3.56382320599303;DEFAULT
23;51.177573829013;3.53429627633754;DEFAULT
24;51.2056474606813;3.51555298481532;DEFAULT
25;50.9441549774973;3.15113047091191;DEFAULT
26;50.9451797320716;3.13284088543316;DEFAULT
27;50.9167862704092;3.25413910126537;DEFAULT
28;50.9078329003198;3.31950984439158;DEFAULT
29;50.8970085847632;3.34429518344843;DEFAULT
30;50.7462206137497;3.4131126233553;DEFAULT
31;50.7502492619155;3.41096627904823;DEFAULT
32;50.7801201676364;3.37934787636206;DEFAULT
33;50.8234745404994;3.34460258254421;DEFAULT
34;50.8289037753305;3.29475175781946;DEFAULT
35;50.830928388989;3.28621316820315;DEFAULT
36;50.8330300627979;3.27693812862519;DEFAULT
37;50.8346355049965;3.27041321587566;DEFAULT
38;50.7733827101052;3.01941089335244;DEFAULT
39;50.7813382372585;3.10208458665691;DEFAULT
40;50.7853379317237;3.10772439430152;DEFAULT
41;50.7907337602001;3.12509963744553;BRIDGE
42;50.7907337602001;3.12509963744553;BRIDGE
43;50.7945105985224;3.13740541111968;BRIDGE
44;50.7945105985224;3.13740541111968;BRIDGE
45;50.8011621156178;3.18880756186039;BRIDGE
46;50.8011621156178;3.18880756186039;BRIDGE
47;50.8070516793883;3.2085230033633;BRIDGE
48;50.8070516793883;3.2085230033633;BRIDGE
49;50.8161954945896;3.23199113704834;BRIDGE
50;50.8161954945896;3.23199113704834;BRIDGE
51;50.8173546319251;3.23291804216478;BRIDGE
52;50.8173546319251;3.23291804216478;BRIDGE
53;50.8274991396793;3.25057761300281;BRIDGE
54;50.8274991396793;3.25057761300281;BRIDGE
55;50.8286965325756;3.25338684427378;BRIDGE
56;50.8286965325756;3.25338684427378;BRIDGE
57;50.8294547087297;3.25632356219411;BRIDGE
58;50.8294547087297;3.25632356219411;BRIDGE
59;50.8319921078;3.26268499187535;BRIDGE
60;50.8319921078;3.26268499187535;BRIDGE
61;50.8319921078;3.26268499187535;BRIDGE
62;50.8319921078;3.26268499187535;BRIDGE
63;50.8334382377389;3.26718907561406;BRIDGE
64;50.8334382377389;3.26718907561406;BRIDGE
65;50.8345588561469;3.26934201952318;BRIDGE
66;50.8345588561469;3.26934201952318;BRIDGE
67;50.8404474370275;3.28349795106777;BRIDGE
68;50.8404474370275;3.28349795106777;BRIDGE
69;50.8404474370275;3.28349795106777;BRIDGE
70;50.8404474370275;3.28349795106777;BRIDGE
71;50.8405542372141;3.28363451261405;BRIDGE
72;50.8405542372141;3.28363451261405;BRIDGE
73;50.8505874282129;3.30018007651496;BRIDGE
74;50.8505874282129;3.30018007651496;BRIDGE
75;50.8549139754921;3.30556069339306;LOCK
76;50.8549139754921;3.30556069339306;LOCK
77;50.8577178192808;3.30907386473536;BRIDGE
78;50.8577178192808;3.30907386473536;BRIDGE
79;50.8666992749898;3.31503540722151;BRIDGE
80;50.8666992749898;3.31503540722151;BRIDGE
81;50.8897013761193;3.3437852566479;BRIDGE
82;50.8897013761193;3.3437852566479;BRIDGE
83;50.9027301758571;3.38656871570258;BRIDGE
84;50.9027301758571;3.38656871570258;BRIDGE
85;50.9090187748569;3.40377652156753;BRIDGE
86;50.9090187748569;3.40377652156753;BRIDGE
87;50.9142062401617;3.41557701902811;LOCK
88;50.9142062401617;3.41557701902811;LOCK
89;50.929359499094;3.43782132478521;BRIDGE
90;50.929359499094;3.43782132478521;BRIDGE
91;50.9435658627332;3.45197113362599;BRIDGE
92;50.9435658627332;3.45197113362599;BRIDGE
93;50.9647437692691;3.47879070182937;BRIDGE
94;50.9647437692691;3.47879070182937;BRIDGE
95;50.9763217467004;3.50331434159999;BRIDGE
96;50.9763217467004;3.50331434159999;BRIDGE
97;50.9784787333234;3.52501422818092;BRIDGE
98;50.9784787333234;3.52501422818092;BRIDGE
99;50.9826230341959;3.52763908415015;BRIDGE
100;50.9826230341959;3.52763908415015;BRIDGE
101;50.9818787985907;3.53363644546828;BRIDGE
102;50.9818787985907;3.53363644546828;BRIDGE
103;50.9834163796391;3.55338224831798;BRIDGE
104;50.9834163796391;3.55338224831798;BRIDGE
105;50.9914573173347;3.56707331028799;BRIDGE
106;50.9914573173347;3.56707331028799;BRIDGE
107;50.9914920525186;3.56732415325538;LOCK
108;50.9914920525186;3.56732415325538;LOCK
109;51.012272683061;3.58902323684936;BRIDGE
110;51.012272683061;3.58902323684936;BRIDGE
111;51.0323220011335;3.64542507200694;BRIDGE
