Id;Latitude;Longitude;Type
73;50.8505874282129;3.30018007651496;BRIDGE
4;50.8477235909587;3.29223788065011;DEFAULT
71;50.8405542372141;3.28363451261405;BRIDGE
67;50.8404474370275;3.28349795106777;BRIDGE
3;50.8348744279199;3.26961688857382;DEFAULT
65;50.8345588561469;3.26934201952318;BRIDGE
253;50.8282386695352;3.30363310658927;BRIDGE
251;50.8278920870305;3.32012429187014;BRIDGE
249;50.827855675402;3.32356754768387;BRIDGE
247;50.8277435401157;3.33092871597805;BRIDGE
245;50.8236244131215;3.34434036862933;BRIDGE
33;50.8234745404994;3.34460258254421;DEFAULT
243;50.823069428398;3.34531292534435;LOCK
241;50.81638211906;3.35258794462234;BRIDGE
282;50.840052;3.282904;DEFAULT
284;50.841202;3.284368;SCEN3KNOT
285;50.828482;3.298240;DEFAULT
